Date,Wh
1993-1,1.42392752
1993-2,1.826232266
1993-3,2.618255854
1993-4,2.237212936
1993-5,1.548846881
1993-6,1.499087691
1993-7,1.965570712
1993-8,1.602387746
1993-9,1.522184627
1993-10,1.167678881
1993-11,1.18106553
1993-12,1.656030214
1994-1,2.592619002
1994-2,1.919139703
1994-3,2.718493611
1994-4,2.005024115
1994-5,1.428413856
1994-6,1.770222306
1994-7,1.839950749
1994-8,1.685074707
1994-9,1.718941271
1994-10,1.422079017
1994-11,1.275556719
1994-12,1.594048841
1995-1,1.611014207
1995-2,2.133001179
1995-3,1.528268266
1995-4,1.902509888
1995-5,1.593379927
1995-6,2.10400125
1995-7,1.208264738
1995-8,1.752571617
1995-9,1.312784128
1995-10,1.266725004
1995-11,1.604344802
1995-12,1.525461878
1996-1,1.695147276
1996-2,1.837640762
1996-3,2.291546449
1996-4,1.730488549
1996-5,2.525109512
1996-6,1.701379442
1996-7,1.922768511
1996-8,1.155160666
1996-9,1.2242093
1996-10,1.599825531
1996-11,1.564462026
1996-12,1.631106533
1997-1,2.386654238
1997-2,1.777114713
1997-3,2.496504088
1997-4,1.70771529
1997-5,2.391618186
1997-6,2.099690485
1997-7,2.020951833
1997-8,1.680744648
1997-9,1.433650911
1997-10,1.436637208
1997-11,1.31044127
1997-12,1.654826552
1998-1,2.112281601
1998-2,1.650596329
1998-3,1.992919087
1998-4,2.276291966
1998-5,1.86203084
1998-6,1.832877602
1998-7,1.762393168
1998-8,2.002715179
1998-9,1.995186337
1998-10,1.844889641
1998-11,1.67143751
1998-12,1.770287395
1999-1,2.041261937
1999-2,2.64713378
1999-3,1.670976894
1999-4,2.186097304
1999-5,2.391450448
1999-6,1.937543054
1999-7,2.494004703
1999-8,1.791701496
1999-9,1.85299437
1999-10,1.468697578
1999-11,1.724725459
1999-12,1.949070315
2000-1,1.579672779
2000-2,2.267824729
2000-3,1.809119254
2000-4,2.458023876
2000-5,2.13875046
2000-6,2.301352637
2000-7,1.503070265
2000-8,1.801042855
2000-9,1.219322409
2000-10,1.865443349
2000-11,1.605726785
2000-12,1.464111552
2001-1,1.943672508
2001-2,2.391649895
2001-3,1.949850387
2001-4,2.329546124
2001-5,1.435458399
2001-6,1.880093336
2001-7,1.909116447
2001-8,1.469330139
2001-9,1.449498042
2001-10,1.268992345
2001-11,1.361197968
2001-12,1.383972794
2002-1,1.898627393
2002-2,1.423610568
2002-3,1.978320405
2002-4,1.97452594
2002-5,1.739284532
2002-6,2.303677934
2002-7,1.699030995
2002-8,1.770984547
2002-9,1.255487561
2002-10,2.24646318
2002-11,1.312672873
2002-12,1.758838981
2003-1,1.740291166
2003-2,1.443424145
2003-3,2.04638503
2003-4,1.313666821
2003-5,2.451713264
2003-6,1.756894279
2003-7,1.810316861
2003-8,1.88212647
2003-9,1.050266743
2003-10,1.597683271
2003-11,1.689568599
2003-12,0.886222283
2004-1,1.81877776
2004-2,1.700015962
2004-3,2.000138223
2004-4,1.691218823
2004-5,1.70882383
2004-6,2.251744509
2004-7,2.101727446
2004-8,1.360394438
2004-9,1.436175078
2004-10,2.136699224
2004-11,1.747517228
2004-12,1.455302477
2005-1,1.594563762
2005-2,1.815125028
2005-3,2.275970221
2005-4,2.113181293
2005-5,2.17039448
2005-6,1.671685413
2005-7,1.583009928
2005-8,1.296486199
2005-9,1.578469515
2005-10,1.315016717
2005-11,0.924512088
2005-12,1.436857373
2006-1,1.990741173
2006-2,1.761207104
2006-3,2.079895365
2006-4,2.17154177
2006-5,2.242716789
2006-6,2.224572301
2006-7,2.13761875
2006-8,2.942028761
2006-9,1.397400141
2006-10,1.610025048
2006-11,1.667540193
2006-12,1.477655917
2007-1,1.591644153
2007-2,2.277509212
2007-3,2.364761531
2007-4,1.910037488
2007-5,2.038522929
2007-6,1.504555583
2007-7,2.922533274
2007-8,2.113281399
2007-9,1.703676403
2007-10,1.287020862
2007-11,1.726309786
2007-12,1.392363151
2008-1,2.054628164
2008-2,2.685311109
2008-3,2.331903736
2008-4,1.907419086
2008-5,2.002629797
2008-6,2.34217608
2008-7,1.632626225
2008-8,1.559336707
2008-9,1.777882033
2008-10,1.631798631
2008-11,1.397370622
2008-12,0.9893804
2009-1,1.816436259
2009-2,2.05827646
2009-3,2.510744916
2009-4,2.092780829
2009-5,1.803292399
2009-6,1.514955248
2009-7,1.711904878
2009-8,1.50265363
2009-9,1.643785771
2009-10,1.479026235
2009-11,1.469504193
2009-12,1.318885234
2010-1,1.296052995
2010-2,1.891669513
2010-3,2.236450219
2010-4,2.100260824
2010-5,1.697978995
2010-6,1.890956585
2010-7,1.785526006
2010-8,1.27900676
2010-9,1.280982689
2010-10,1.776699617
2010-11,2.222997357
2010-12,1.435865554
2011-1,2.338574073
2011-2,2.013100288
2011-3,1.777733075
2011-4,1.865149289
2011-5,1.849731813
2011-6,1.621887657
2011-7,1.649574736
2011-8,1.76439935
2011-9,1.457095189
2011-10,1.409123581
2011-11,1.32604162
2011-12,2.436817957
2012-1,1.883589696
2012-2,1.592287164
2012-3,2.161650333
2012-4,2.332904683
2012-5,1.848545295
2012-6,2.359585942
2012-7,2.183303219
2012-8,1.414326812
2012-9,1.196637318
2012-10,1.611481329
2012-11,1.285822664
2012-12,1.367849467
2013-1,1.673758619
2013-2,2.099506227
2013-3,2.53414987
2013-4,1.709527454
2013-5,1.775714194
2013-6,1.701940936
2013-7,2.181220737
2013-8,1.334561352
2013-9,1.807592632
2013-10,1.298273672
