soi,Wh
-0.9,1.42392752
-0.7,1.826232266
-0.5,2.618255854
-1.2,2.237212936
-0.3,1.548846881
-0.8,1.499087691
-0.8,1.965570712
-0.9,1.602387746
-0.7,1.522184627
-1.1,1.167678881
-0.1,1.18106553
0.2,1.656030214
-0.1,2.592619002
0.3,1.919139703
-0.7,2.718493611
-1.3,2.005024115
-0.7,1.428413856
-0.4,1.770222306
-1.3,1.839950749
-1.2,1.685074707
-1.6,1.718941271
-1.1,1.422079017
-0.6,1.275556719
-1.2,1.594048841
-0.4,1.611014207
-0.1,2.133001179
0.8,1.528268266
-0.7,1.902509888
-0.4,1.593379927
0.1,2.10400125
0.4,1.208264738
0.3,1.752571617
0.3,1.312784128
0,1.266725004
0,1.604344802
-0.5,1.525461878
1,1.695147276
0.3,1.837640762
1.1,2.291546449
0.8,1.730488549
0.3,2.525109512
1.2,1.701379442
0.7,1.922768511
0.7,1.155160666
0.6,1.2242093
0.6,1.599825531
-0.1,1.564462026
0.9,1.631106533
0.5,2.386654238
1.7,1.777114713
-0.4,2.496504088
-0.6,1.70771529
-1.3,2.391618186
-1.4,2.099690485
-0.8,2.020951833
-1.4,1.680744648
-1.4,1.433650911
-1.5,1.436637208
-1.2,1.31044127
-1,1.654826552
-2.7,2.112281601
-2,1.650596329
-2.4,1.992919087
-1.4,2.276291966
0.3,1.86203084
1,1.832877602
1.2,1.762393168
1.2,2.002715179
1,1.995186337
1.1,1.844889641
1,1.67143751
1.4,1.770287395
1.8,2.041261937
1,2.64713378
1.3,1.670976894
1.4,2.186097304
0.2,2.391450448
0.3,1.937543054
0.5,2.494004703
0.4,1.791701496
-0.1,1.85299437
1,1.468697578
1,1.724725459
1.4,1.949070315
0.7,1.579672779
1.7,2.267824729
1.3,1.809119254
1.2,2.458023876
0.4,2.13875046
-0.2,2.301352637
-0.2,1.503070265
0.7,1.801042855
0.9,1.219322409
1.1,1.865443349
1.8,1.605726785
0.8,1.464111552
1,1.943672508
1.7,2.391649895
0.9,1.949850387
0.2,2.329546124
-0.5,1.435458399
0.3,1.880093336
-0.2,1.909116447
-0.4,1.469330139
0.2,1.449498042
0,1.268992345
0.7,1.361197968
-0.8,1.383972794
0.4,1.898627393
1.1,1.423610568
-0.2,1.978320405
-0.1,1.97452594
-0.8,1.739284532
-0.2,2.303677934
-0.5,1.699030995
-1,1.770984547
-0.6,1.255487561
-0.4,2.24646318
-0.5,1.312672873
-1.1,1.758838981
-0.2,1.740291166
-0.7,1.443424145
-0.3,2.04638503
-0.1,1.313666821
-0.3,2.451713264
-0.6,1.756894279
0.3,1.810316861
0.1,1.88212647
-0.1,1.050266743
0,1.597683271
-0.3,1.689568599
1.1,0.886222283
-1.3,1.81877776
