January,February,March,April,May,June,July,August,September,October,November,December
1.42392752,1.826232266,2.618255854,2.237212936,1.548846881,1.499087691,1.965570712,1.602387746,1.522184627,1.167678881,1.18106553,1.656030214
2.592619002,1.919139703,2.718493611,2.005024115,1.428413856,1.770222306,1.839950749,1.685074707,1.718941271,1.422079017,1.275556719,1.594048841
1.611014207,2.133001179,1.528268266,1.902509888,1.593379927,2.10400125,1.208264738,1.752571617,1.312784128,1.266725004,1.604344802,1.525461878
1.695147276,1.837640762,2.291546449,1.730488549,2.525109512,1.701379442,1.922768511,1.155160666,1.2242093,1.599825531,1.564462026,1.631106533
2.386654238,1.777114713,2.496504088,1.70771529,2.391618186,2.099690485,2.020951833,1.680744648,1.433650911,1.436637208,1.31044127,1.654826552
2.112281601,1.650596329,1.992919087,2.276291966,1.86203084,1.832877602,1.762393168,2.002715179,1.995186337,1.844889641,1.67143751,1.770287395
2.041261937,2.64713378,1.670976894,2.186097304,2.391450448,1.937543054,2.494004703,1.791701496,1.85299437,1.468697578,1.724725459,1.949070315
1.579672779,2.267824729,1.809119254,2.458023876,2.13875046,2.301352637,1.503070265,1.801042855,1.219322409,1.865443349,1.605726785,1.464111552
1.943672508,2.391649895,1.949850387,2.329546124,1.435458399,1.880093336,1.909116447,1.469330139,1.449498042,1.268992345,1.361197968,1.383972794
1.898627393,1.423610568,1.978320405,1.97452594,1.739284532,2.303677934,1.699030995,1.770984547,1.255487561,2.24646318,1.312672873,1.758838981
1.740291166,1.443424145,2.04638503,1.313666821,2.451713264,1.756894279,1.810316861,1.88212647,1.050266743,1.597683271,1.689568599,0.886222283
1.81877776,1.700015962,2.000138223,1.691218823,1.70882383,2.251744509,2.101727446,1.360394438,1.436175078,2.136699224,1.747517228,1.455302477
1.594563762,1.815125028,2.275970221,2.113181293,2.17039448,1.671685413,1.583009928,1.296486199,1.578469515,1.315016717,0.924512088,1.436857373
1.990741173,1.761207104,2.079895365,2.17154177,2.242716789,2.224572301,2.13761875,2.942028761,1.397400141,1.610025048,1.667540193,1.477655917
1.591644153,2.277509212,2.364761531,1.910037488,2.038522929,1.504555583,2.922533274,2.113281399,1.703676403,1.287020862,1.726309786,1.392363151
2.054628164,2.685311109,2.331903736,1.907419086,2.002629797,2.34217608,1.632626225,1.559336707,1.777882033,1.631798631,1.397370622,0.9893804
1.816436259,2.05827646,2.510744916,2.092780829,1.803292399,1.514955248,1.711904878,1.50265363,1.643785771,1.479026235,1.469504193,1.318885234
1.296052995,1.891669513,2.236450219,2.100260824,1.697978995,1.890956585,1.785526006,1.27900676,1.280982689,1.776699617,2.222997357,1.435865554
2.338574073,2.013100288,1.777733075,1.865149289,1.849731813,1.621887657,1.649574736,1.76439935,1.457095189,1.409123581,1.32604162,2.436817957
1.883589696,1.592287164,2.161650333,2.332904683,1.848545295,2.359585942,2.183303219,1.414326812,1.196637318,1.611481329,1.285822664,1.367849467
1.673758619,2.099506227,2.53414987,1.709527454,1.775714194,1.701940936,2.181220737,1.334561352,1.807592632,1.298273672,1.462742342,1.359006756
2.242280121,1.958846504,2.291479552,1.816990856,1.985171249,1.432612583,1.821647488,1.988705347,1.501791985,1.290713903,1.427706083,1.479997274
1.61111942,2.217011419,1.666259764,1.630954796,1.945503259,2.046012843,1.786622258,1.179168495,1.544268185,1.847410292,1.107902769,1.562906566
1.583172541,2.138350068,1.71898035,2.049921861,1.207738266,1.714411409,1.627128256,1.998311465,1.258332291,1.331388978,1.651415573,1.343204488
1.541264386,1.448710969,1.818978491,2.435898395,1.839612835,1.909030406,1.404223705,1.580964771,1.374923993,1.499205984,1.840850893,1.38102872
1.41502902,2.177662648,2.903292092,2.339218501,2.091991427,1.765944537,1.146611734,1.437753622,1.56879859,1.530308491,1.527879138,2.163388755
