Date,Wh
19931,1.42392752
19932,1.826232266
19933,2.618255854
19934,2.237212936
19935,1.548846881
19936,1.499087691
19937,1.965570712
19938,1.602387746
19939,1.522184627
199310,1.167678881
199311,1.18106553
199312,1.656030214
19941,2.592619002
19942,1.919139703
19943,2.718493611
19944,2.005024115
19945,1.428413856
19946,1.770222306
19947,1.839950749
19948,1.685074707
19949,1.718941271
199410,1.422079017
199411,1.275556719
199412,1.594048841
19951,1.611014207
19952,2.133001179
19953,1.528268266
19954,1.902509888
19955,1.593379927
19956,2.10400125
19957,1.208264738
19958,1.752571617
19959,1.312784128
199510,1.266725004
199511,1.604344802
199512,1.525461878
19961,1.695147276
19962,1.837640762
19963,2.291546449
19964,1.730488549
19965,2.525109512
19966,1.701379442
19967,1.922768511
19968,1.155160666
19969,1.2242093
199610,1.599825531
199611,1.564462026
199612,1.631106533
19971,2.386654238
19972,1.777114713
19973,2.496504088
19974,1.70771529
19975,2.391618186
19976,2.099690485
19977,2.020951833
19978,1.680744648
19979,1.433650911
199710,1.436637208
199711,1.31044127
199712,1.654826552
19981,2.112281601
19982,1.650596329
19983,1.992919087
19984,2.276291966
19985,1.86203084
19986,1.832877602
19987,1.762393168
19988,2.002715179
19989,1.995186337
199810,1.844889641
199811,1.67143751
199812,1.770287395
19991,2.041261937
19992,2.64713378
19993,1.670976894
19994,2.186097304
19995,2.391450448
19996,1.937543054
19997,2.494004703
19998,1.791701496
19999,1.85299437
199910,1.468697578
199911,1.724725459
199912,1.949070315
20001,1.579672779
20002,2.267824729
20003,1.809119254
20004,2.458023876
20005,2.13875046
20006,2.301352637
20007,1.503070265
20008,1.801042855
20009,1.219322409
200010,1.865443349
200011,1.605726785
200012,1.464111552
20011,1.943672508
20012,2.391649895
20013,1.949850387
20014,2.329546124
20015,1.435458399
20016,1.880093336
20017,1.909116447
20018,1.469330139
20019,1.449498042
200110,1.268992345
200111,1.361197968
200112,1.383972794
20021,1.898627393
20022,1.423610568
20023,1.978320405
20024,1.97452594
20025,1.739284532
20026,2.303677934
20027,1.699030995
20028,1.770984547
20029,1.255487561
200210,2.24646318
200211,1.312672873
200212,1.758838981
20031,1.740291166
20032,1.443424145
20033,2.04638503
20034,1.313666821
20035,2.451713264
20036,1.756894279
20037,1.810316861
20038,1.88212647
20039,1.050266743
200310,1.597683271
200311,1.689568599
200312,0.886222283
20041,1.81877776
20042,1.700015962
20043,2.000138223
20044,1.691218823
20045,1.70882383
20046,2.251744509
20047,2.101727446
20048,1.360394438
20049,1.436175078
200410,2.136699224
200411,1.747517228
200412,1.455302477
20051,1.594563762
20052,1.815125028
20053,2.275970221
20054,2.113181293
20055,2.17039448
20056,1.671685413
20057,1.583009928
20058,1.296486199
20059,1.578469515
200510,1.315016717
200511,0.924512088
200512,1.436857373
20061,1.990741173
20062,1.761207104
20063,2.079895365
20064,2.17154177
20065,2.242716789
20066,2.224572301
20067,2.13761875
20068,2.942028761
20069,1.397400141
200610,1.610025048
200611,1.667540193
200612,1.477655917
20071,1.591644153
20072,2.277509212
20073,2.364761531
20074,1.910037488
20075,2.038522929
20076,1.504555583
20077,2.922533274
20078,2.113281399
20079,1.703676403
200710,1.287020862
200711,1.726309786
200712,1.392363151
20081,2.054628164
20082,2.685311109
20083,2.331903736
20084,1.907419086
20085,2.002629797
20086,2.34217608
20087,1.632626225
20088,1.559336707
20089,1.777882033
200810,1.631798631
200811,1.397370622
200812,0.9893804
20091,1.816436259
20092,2.05827646
20093,2.510744916
20094,2.092780829
20095,1.803292399
20096,1.514955248
20097,1.711904878
20098,1.50265363
20099,1.643785771
200910,1.479026235
200911,1.469504193
200912,1.318885234
20101,1.296052995
20102,1.891669513
20103,2.236450219
20104,2.100260824
20105,1.697978995
20106,1.890956585
20107,1.785526006
20108,1.27900676
20109,1.280982689
201010,1.776699617
201011,2.222997357
201012,1.435865554
20111,2.338574073
20112,2.013100288
20113,1.777733075
20114,1.865149289
20115,1.849731813
20116,1.621887657
20117,1.649574736
20118,1.76439935
20119,1.457095189
201110,1.409123581
201111,1.32604162
201112,2.436817957
20121,1.883589696
20122,1.592287164
20123,2.161650333
20124,2.332904683
20125,1.848545295
20126,2.359585942
20127,2.183303219
20128,1.414326812
20129,1.196637318
201210,1.611481329
201211,1.285822664
201212,1.367849467
20131,1.673758619
20132,2.099506227
20133,2.53414987
20134,1.709527454
20135,1.775714194
20136,1.701940936
20137,2.181220737
20138,1.334561352
20139,1.807592632
201310,1.298273672
201311,1.462742342
201312,1.359006756
20141,2.242280121
20142,1.958846504
20143,2.291479552
20144,1.816990856
20145,1.985171249
20146,1.432612583
20147,1.821647488
20148,1.988705347
20149,1.501791985
201410,1.290713903
201411,1.427706083
201412,1.479997274
20151,1.61111942
20152,2.217011419
20153,1.666259764
20154,1.630954796
20155,1.945503259
20156,2.046012843
20157,1.786622258
20158,1.179168495
20159,1.544268185
201510,1.847410292
201511,1.107902769
201512,1.562906566
20161,1.583172541
20162,2.138350068
20163,1.71898035
20164,2.049921861
20165,1.207738266
20166,1.714411409
20167,1.627128256
20168,1.998311465
20169,1.258332291
201610,1.331388978
201611,1.651415573
201612,1.343204488
20171,1.541264386
20172,1.448710969
20173,1.818978491
20174,2.435898395
20175,1.839612835
20176,1.909030406
20177,1.404223705
20178,1.580964771
20179,1.374923993
201710,1.499205984
201711,1.840850893
201712,1.38102872
20181,1.41502902
20182,2.177662648
20183,2.903292092
20184,2.339218501
20185,2.091991427
