date,soi
1993,-8.2
1993,-7.9
1993,-8.5
1993,-21.1
1993,-8.2
1993,-16
1993,-10.8
1993,-14
1993,-7.6
1993,-13.5
1993,0.6
1993,1.6
1994,-1.6
1994,0.6
1994,-10.6
1994,-22.8
1994,-13
1994,-10.4
1994,-18
1994,-17.2
1994,-17.2
1994,-14.1
1994,-7.3
1994,-11.6
1995,-4
1995,-2.7
1995,3.5
1995,-16.2
1995,-9
1995,-1.5
1995,4.2
1995,0.8
1995,3.2
1995,-1.3
1995,1.3
1995,-5.5
1996,8.4
1996,1.1
1996,6.2
1996,7.8
1996,1.3
1996,13.9
1996,6.8
1996,4.6
1996,6.9
1996,4.2
1996,-0.1
1996,7.2
1997,4.1
1997,13.3
1997,-8.5
1997,-16.2
1997,-22.4
1997,-24.1
1997,-9.5
1997,-19.8
1997,-14.8
1997,-17.8
1997,-15.2
1997,-9.1
1998,-23.5
1998,-19.2
1998,-28.5
1998,-24.4
1998,0.5
1998,9.9
1998,14.6
1998,9.8
1998,11.1
1998,10.9
1998,12.5
1998,13.3
1999,15.6
1999,8.6
1999,8.9
1999,18.5
1999,1.3
1999,1
1999,4.8
1999,2.1
1999,-0.4
1999,9.1
1999,13.1
1999,12.8
2000,5.1
2000,12.9
2000,9.4
2000,16.8
2000,3.6
2000,-5.5
2000,-3.7
2000,5.3
2000,9.9
2000,9.7
2000,22.4
2000,7.7
2001,8.4
2001,11.9
2001,6.7
2001,0.3
2001,-9
2001,1.8
2001,-3.7
2001,-8.2
2001,1.4
2001,-1.9
2001,7.2
2001,-9.1
2002,2.7
2002,7.7
2002,-5.2
2002,-3.8
2002,-14.5
2002,-6.3
2002,-7.6
2002,-14.6
2002,-8.2
2002,-7.4
2002,-6
2002,-10.6
2003,-2
2003,-7.4
2003,-6.8
2003,-5.5
2003,-7.4
2003,-12
2003,2.9
2003,-1.8
2003,-2.2
2003,-1.9
2003,-3.4
2003,9.3
2004,-11.6
2004,9.1
2004,0.2
2004,-15.4
2004,13.1
2004,-15.2
2004,-6.9
2004,-7.6
2004,-2.8
2004,-3.7
2004,-8.6
2004,-8
2005,1.8
2005,-28.6
2005,0.2
2005,-11.2
2005,-14.5
2005,2.6
2005,0.9
2005,-6.9
2005,3.9
2005,10.9
2005,-2
2005,0.1
2006,12.7
2006,0.1
2006,13.8
2006,14.4
2006,-9.8
2006,-6.3
2006,-7.6
2006,-15.9
2006,-5.8
2006,-16
2006,-1.4
2006,-3.5
2007,-7.8
2007,-2.7
2007,-1.4
2007,-3
2007,-2.7
2007,5
2007,-5
2007,2.7
2007,1.4
2007,5.4
2007,9.2
2007,14.4
2008,14.1
2008,21.3
2008,12.2
2008,4.5
2008,-3.5
2008,4.2
2008,2.2
2008,9.1
2008,13.5
2008,13.4
2008,17.1
2008,13.3
2009,9.4
2009,14.8
2009,0.2
2009,8.6
2009,-7.4
2009,-2.3
2009,1.6
2009,-5
2009,3.9
2009,-14.7
2009,-6
2009,-7
2010,-10.1
2010,-14.5
2010,-10.6
2010,15.2
2010,10
2010,1.8
2010,20.5
2010,18.8
2010,24.9
2010,18.3
2010,16.4
2010,27.1
2011,19.9
2011,22.3
2011,21.4
2011,25.1
2011,2.1
2011,0.2
2011,10.7
2011,2.1
2011,11.7
2011,7.3
2011,13.8
2011,23
2012,9.4
2012,2.5
2012,2.9
2012,-7.1
2012,-2.7
2012,-10.4
2012,-1.7
2012,-5
2012,2.6
2012,2.4
2012,3.9
2012,-6
2013,-1.1
2013,-3.6
2013,10.5
2013,0.3
2013,8.4
2013,13.9
2013,8.1
2013,-0.5
2013,3.9
2013,-1.9
2013,9.2
2013,0.6
2014,12.2
2014,-1.3
2014,-13.3
2014,8.6
2014,4.4
2014,-1.5
2014,-3
2014,-11.4
2014,-7.6
2014,-8
2014,-10
2014,-5.5
2015,-7.8
2015,0.6
2015,-11.2
2015,-3.8
2015,-13.7
2015,-12
2015,-14.7
2015,-19.8
2015,-17.8
2015,-20.2
2015,-5.3
2015,-9.1
2016,-19.7
2016,-19.7
2016,-4.7
2016,-22
2016,2.8
2016,5.8
2016,4.2
2016,5.3
2016,13.5
2016,-4.6
2016,-0.7
2016,2.6
2017,1.3
2017,-2.2
2017,5.1
2017,-6.3
2017,0.5
2017,-10.4
2017,8.1
2017,3.3
2017,6.9
2017,9.1
2017,11.8
2017,-1.4
2018,8.9
2018,-6
2018,10.5
2018,4.5
2018,2.1
2018,-5.5
2018,1.6
2018,-6.9
2018,-10
2018,3
2018,-0.1
2018,9.3
