soi,wh
-0.9,1.76222154
-0.7,2.69945002
-0.5,1.65884137
-1.2,2.5736959
-0.3,2.03277214
-0.8,1.84028089
-0.8,1.52569119
-0.9,1.55943958
-0.7,1.72271232
-1.1,1.04671049
-0.1,0.78202035
0.2,1.26013011
-0.1,2.26490541
0.3,1.13177923
-0.7,2.6002324
-1.3,1.75991058
-0.7,1.88065219
-0.4,1.29765403
-1.3,1.80581522
-1.2,2.36717041
-1.6,1.08446368
-1.1,0.97230719
-0.6,1.28783762
-1.2,1.55507366
-0.4,1.36220618
-0.1,1.81133906
0.8,1.30486135
-0.7,1.73818296
-0.4,1.83851427
0.1,1.2657562
0.4,0.90487976
0.3,1.92057564
0.3,1.22833135
0,1.86756901
0,1.13258642
-0.5,1.22287141
1,1.65707988
0.3,1.28796138
1.1,1.90110564
0.8,1.28506325
0.3,1.86456521
1.2,1.71346736
0.7,1.27559206
0.7,1.50822474
0.6,1.05839573
0.6,1.47168019
-0.1,0.64609383
0.9,1.18047391
0.5,1.25958386
1.7,1.39113339
-0.4,3.31719346
-0.6,1.91230673
-1.3,1.37107136
-1.4,2.13232211
-0.8,2.06879165
-1.4,1.28269452
-1.4,1.52562261
-1.5,1.52917963
-1.2,1.40418707
-1,1.08565564
-2.7,1.62704724
-2,1.45601839
-2.4,2.19688337
-1.4,1.67632623
0.3,1.96568239
1,1.57411283
1.2,1.81504083
1.2,1.59710473
1,1.50548832
1.1,1.24225911
1,1.89230838
1.4,2.20613186
1.8,1.22973543
1,1.48304125
1.3,1.63371931
1.4,1.69336924
0.2,1.70010196
0.3,1.7478199
0.5,2.08467456
0.4,2.23233163
-0.1,1.18046057
1,1.20892791
1,1.41326051
1.4,1.53920468
0.7,1.23920238
1.7,1.54164386
1.3,1.42881038
1.2,1.86483502
0.4,2.07848487
-0.2,2.13221219
-0.2,1.35305887
0.7,1.18665094
0.9,1.50136912
1.1,1.72761729
1.8,1.29051223
0.8,1.16112608
1,1.66067435
1.7,1.78431749
0.9,1.14494106
0.2,1.91091338
-0.5,1.16557366
0.3,2.3569173
-0.2,1.42011641
-0.4,1.27591878
0.2,1.44935926
0,0.826109
0.7,1.20404916
-0.8,0.98249235
0.4,1.18981897
1.1,1.1102065
-0.2,1.71236441
-0.1,1.62872151
-0.8,1.52777992
-0.2,1.91696948
-0.5,1.28869379
-1,1.47661541
