Date,Wh
19931,1.762221535
19932,2.699450016
19933,1.658841372
19934,2.573695898
19935,2.032772144
19936,1.84028089
19937,1.525691191
19938,1.55943958
19939,1.722712318
199310,1.046710491
199311,0.78202035
199312,1.260130107
19941,2.264905413
19942,1.131779234
19943,2.600232402
19944,1.759910583
19945,1.880652189
19946,1.297654033
19947,1.80581522
19948,2.367170413
19949,1.084463676
199410,0.972307185
199411,1.287837625
199412,1.555073659
19951,1.362206181
19952,1.81133906
19953,1.304861347
19954,1.738182962
19955,1.838514268
19956,1.265756202
19957,0.904879764
19958,1.920575643
19959,1.228331351
199510,1.867569005
199511,1.13258642
199512,1.222871411
19961,1.657079875
19962,1.287961379
19963,1.901105642
19964,1.285063255
19965,1.864565206
19966,1.71346736
19967,1.275592065
19968,1.508224744
19969,1.058395731
199610,1.471680194
199611,0.64609383
199612,1.180473906
19971,1.259583861
19972,1.391133388
19973,3.31719346
19974,1.912306726
19975,1.371071362
19976,2.132322113
19977,2.068791652
19978,1.282694519
19979,1.525622606
199710,1.529179633
199711,1.404187071
199712,1.085655642
19981,1.627047241
19982,1.456018388
19983,2.196883368
19984,1.676326227
19985,1.965682387
19986,1.574112833
19987,1.815040827
19988,1.597104728
19989,1.505488321
199810,1.242259105
199811,1.892308384
199812,2.206131864
19991,1.229735434
19992,1.483041247
19993,1.633719313
19994,1.69336924
19995,1.70010196
19996,1.747819901
19997,2.084674561
19998,2.232331634
19999,1.180460572
199910,1.208927906
199911,1.413260508
199912,1.539204677
20001,1.23920238
20002,1.541643858
20003,1.428810382
20004,1.864835024
20005,2.078484873
20006,2.132212186
20007,1.353058875
20008,1.186650945
20009,1.501369124
200010,1.727617294
200011,1.29051223
200012,1.161126085
20011,1.660674351
20012,1.784317493
20013,1.144941062
20014,1.910913382
20015,1.165573663
20016,2.356917296
20017,1.420116408
20018,1.275918775
20019,1.44935926
200110,0.826108997
200111,1.204049158
200112,0.982492353
20021,1.18981897
20022,1.110206502
20023,1.712364405
20024,1.628721505
20025,1.52777992
20026,1.916969478
20027,1.288693786
20028,1.476615409
20029,1.253644794
200210,1.625477307
200211,1.538034448
200212,1.292486635
20031,1.385902405
20032,1.366112391
20033,1.644327096
20034,1.673117614
20035,1.555245735
20036,1.571528872
20037,2.695154205
20038,1.559348023
20039,1.441960239
200310,1.80307008
200311,1.371923225
200312,0.979154179
20041,0.887824376
20042,1.327254981
20043,2.113662577
20044,2.016459601
20045,1.354347338
20046,1.945688128
20047,1.301654143
20048,0.920707405
20049,1.444440484
200410,1.47584758
200411,1.490939372
200412,1.141225561
20051,2.002849234
20052,1.52894067
20053,1.515593022
20054,2.321991285
20055,1.75006631
20056,1.797029768
20057,2.535917714
20058,2.061389208
20059,0.94473768
200510,0.818929195
200511,1.103137434
200512,0.969586718
20061,2.112518787
20062,1.53839155
20063,2.151803056
20064,1.381728172
20065,1.928599596
20066,2.680014729
20067,1.821822355
20068,1.65372924
20069,3.298399925
200610,2.338296215
200611,1.701518615
200612,1.593986085
20071,1.426151897
20072,2.240011255
20073,1.920922279
20074,1.663588619
20075,1.501743197
20076,1.849018604
20077,1.563677931
20078,1.634244609
20079,0.814850032
200710,1.562915373
200711,1.228485793
200712,1.637300104
20081,2.046451569
20082,0.937587897
20083,1.965115917
20084,1.352689016
20085,1.746206125
20086,1.697244883
20087,1.759340666
20088,1.439478348
20089,1.534773469
200810,1.588534928
200811,1.017045426
200812,0.639990318
20091,1.687025206
20092,1.221982924
20093,1.99326816
20094,1.069062407
20095,1.860884115
20096,0.972890544
20097,1.545832436
20098,1.391647544
20099,1.443853405
200910,1.341382634
200911,1.36014814
200912,1.377830028
20101,1.320173045
20102,1.117694123
20103,2.764601625
20104,1.901787627
20105,1.247885027
20106,1.369443359
20107,1.55988956
20108,1.180600086
20109,1.265450411
201010,1.311874437
201011,1.677449147
201012,1.468755103
20111,1.90064201
20112,0.92170686
20113,0.910392075
20114,1.493286869
20115,1.838567218
20116,1.788966973
20117,1.813020082
20118,1.466731248
20119,1.547547074
201110,0.9233388
201111,1.279205169
201112,1.521145891
20121,1.099494365
20122,0.88410359
20123,1.71027269
20124,1.635316453
20125,2.247382423
20126,1.453168412
20127,2.087119152
20128,1.37323008
20129,1.593696298
201210,1.267760245
201211,1.405829685
201212,0.718084494
20131,2.489634336
20132,1.067730537
20133,1.796265756
20134,1.050812746
20135,1.294555832
20136,1.381016302
20137,1.98631705
20138,1.316445286
20139,0.902832185
201310,1.274329063
201311,1.17406669
201312,1.49399077
20141,2.527685122
20142,1.892065062
20143,1.943597607
20144,1.715219949
20145,1.660620329
20146,1.273747787
20147,1.481514783
20148,1.535657432
20149,1.055794492
201410,1.218559593
201411,1.24697801
201412,0.663592893
20151,1.636536483
20152,1.89285252
20153,1.135744996
20154,1.181370886
20155,1.882970366
20156,2.006535459
20157,1.604042561
20158,1.404014462
20159,1.33069702
201510,1.71287805
201511,0.900679735
201512,1.285971591
20161,1.037930708
20162,1.429456973
20163,1.381233033
20164,1.37636109
20165,0.965799528
20166,1.318988032
20167,1.429590207
20168,2.029618986
20169,0.907702198
201610,0.976279332
201611,1.18891586
201612,1.215187933
20171,1.369195293
20172,1.515869489
20173,1.42001577
20174,1.933952633
20175,1.767203396
20176,1.487859995
20177,1.558057477
20178,1.378773435
20179,0.97663225
201710,1.142830463
201711,1.436999636
201712,1.065452309
20181,1.312972043
20182,1.2741129
20183,1.702008809
20184,2.346695205
20185,1.586459961
20186,1.342696316
20187,1.333364978
20188,0.937450486
20189,1.558715077
201810,0.79877387
201811,1.1323188
201812,1.857376401
