lat lon wh tt qc back ws
-17.018972 147.34805 1.9920001 8591.478603153955 1.0 10.78 8.8
-17.068493 147.36795 2.072 8591.478614908876 1.0 10.83 8.62
-17.11801 147.38785 1.756 8591.478626754251 1.0 10.91 8.34
-17.167522 147.40776 1.751 8591.47863859951 1.0 10.96 8.16
-17.217031 147.42769 1.8840001 8591.478650354431 1.0 11.01 7.99
-17.266539 147.44762 1.616 8591.478662199806 1.0 11.0 8.0199995
-17.316044 147.46758 1.7320001 8591.478673954727 1.0 11.0 8.0199995
-17.365543 147.48753 1.695 8591.478685800103 1.0 11.05 7.85
-17.415041 147.5075 1.7860001 8591.478697555023 1.0 11.11 7.6299996
-17.464535 147.5275 1.628 8591.478709400282 1.0 11.08 7.74
-17.514025 147.5475 1.774 8591.478721245658 1.0 11.099999 7.6699996
-17.563513 147.56752 1.8550001 8591.478733000578 1.0 11.03 7.9199996
-17.612997 147.58755 1.8640001 8591.478744845954 1.0 10.969999 8.13
-17.662477 147.60759 1.8440001 8591.478756600874 1.0 10.969999 8.13
-17.711956 147.62764 1.886 8591.478768446133 1.0 10.929999 8.2699995
-17.76143 147.64772 1.761 8591.478780291509 1.0 10.95 8.2
-17.810902 147.6678 1.636 8591.47879204643 1.0 10.94 8.23
-17.86037 147.6879 1.5970001 8591.478803891805 1.0 10.96 8.16
-17.909834 147.70801 1.651 8591.478815646726 1.0 10.969999 8.13
-17.959295 147.72812 1.4760001 8591.478827491985 1.0 10.99 8.059999
-17.966944 147.08775 1.0810001 8599.863487594062 1.0 12.0199995 5.0499997
-17.917486 147.10788 1.1500001 8599.863499529776 1.0 11.91 5.2999997
-17.868029 147.12798 1.2 8599.863511284697 1.0 11.91 5.2999997
-17.818565 147.14809 1.2040001 8599.863523039618 1.0 11.929999 5.25
-17.769098 147.16817 0.93700004 8599.863534975448 1.0 11.88 5.37
-17.71963 147.18823 1.042 8599.863546730368 1.0 11.82 5.5099998
-17.670156 147.20828 1.116 8599.86355848529 1.0 11.82 5.5099998
-17.62068 147.22833 0.98300004 8599.86357024021 1.0 11.82 5.5099998
-17.571201 147.24837 1.2260001 8599.863582175924 1.0 11.75 5.68
-17.521717 147.26837 0.99000007 8599.863593930844 1.0 11.599999 6.08
-17.472233 147.28838 1.261 8599.863605685765 1.0 11.509999 6.33
-17.422743 147.30836 1.0380001 8599.863617621479 1.0 11.49 6.39
-17.373251 147.32835 1.3340001 8599.8636293764 1.0 11.49 6.39
-17.274256 147.36827 1.189 8599.86365288624 1.0 11.46 6.48
-17.224754 147.3882 1.245 8599.86366482207 1.0 11.46 6.48
-17.17525 147.40813 1.018 8599.863676576992 1.0 11.46 6.48
-17.12574 147.42804 1.228 8599.863688331912 1.0 11.5 6.3599997
-17.07623 147.44794 1.1350001 8599.863700267626 1.0 11.509999 6.33
-17.026714 147.46783 1.276 8599.863712022547 1.0 11.429999 6.5699997
-17.001154 147.3395 1.098 8601.3942449725 1.0 12.05 4.99
-17.050674 147.35938 0.777 8601.394256817875 1.0 12.12 4.8399997
-17.100193 147.37927 1.1290001 8601.394268572796 1.0 12.15 4.7799997
-17.149708 147.39919 0.89100003 8601.394280418172 1.0 12.17 4.74
-17.199219 147.41911 1.1850001 8601.394292172976 1.0 12.12 4.8399997
-17.248728 147.43904 1.128 8601.394304018351 1.0 12.11 4.8599997
-17.298235 147.45898 1.0090001 8601.394315773272 1.0 12.09 4.9
-17.347736 147.47894 1.1010001 8601.394327618647 1.0 12.009999 5.0699997
-17.397236 147.49892 0.9480001 8601.394339464023 1.0 12.059999 4.97
-17.446732 147.5189 0.961 8601.394351218943 1.0 12.04 5.0099998
-17.496223 147.53891 0.63600004 8601.394363064202 1.0 12.059999 4.97
-17.545713 147.55891 1.0250001 8601.394374819123 1.0 12.09 4.9
-17.5952 147.57895 1.218 8601.394386664499 1.0 12.07 4.95
-17.644682 147.59898 0.883 8601.394398509874 1.0 12.05 4.99
-17.69416 147.61903 1.039 8601.394410264795 1.0 12.03 5.0299997
-17.79311 147.65918 0.975 8601.394433864974 1.0 11.94 5.23
-17.84258 147.67928 0.91700006 8601.39444571035 1.0 11.95 5.2
-17.94151 147.7195 0.9250001 8601.394469310646 1.0 12.05 4.99
-17.990969 147.73962 0.94400007 8601.394481155905 1.0 12.09 4.9
-17.986744 147.07883 1.8410001 8609.7791270616 1.0 10.05 11.42
-17.937288 147.09895 1.7420001 8609.77913881652 1.0 10.0199995 11.5199995
-17.887833 147.11906 2.0570002 8609.77915075235 1.0 10.0199995 11.5199995
-17.838371 147.13918 2.066 8609.779162507271 1.0 9.99 11.63
-17.788906 147.15926 2.114 8609.779174262192 1.0 9.98 11.67
-17.739439 147.17932 2.127 8609.779186197906 1.0 9.94 11.809999
-17.689968 147.19939 2.259 8609.779197952827 1.0 9.96 11.74
-17.640495 147.21944 2.153 8609.779209707747 1.0 9.929999 11.849999
-17.591017 147.23947 2.118 8609.779221643461 1.0 9.94 11.809999
-17.541536 147.25949 2.14 8609.779233398382 1.0 9.929999 11.849999
-17.492052 147.2795 2.084 8609.779245153302 1.0 9.99 11.63
-17.442566 147.29948 2.128 8609.779256908223 1.0 9.96 11.74
-17.393076 147.31947 2.2080002 8609.779268844053 1.0 10.01 11.559999
-17.343582 147.33943 2.131 8609.779280598974 1.0 9.99 11.63
-17.294085 147.35939 1.797 8609.779292353895 1.0 9.969999 11.7
-17.244587 147.37933 1.784 8609.779304289608 1.0 10.01 11.559999
-17.195084 147.39926 1.743 8609.779316044529 1.0 10.05 11.42
-17.145576 147.41917 1.802 8609.77932779945 1.0 10.07 11.34
-17.096067 147.43909 1.57 8609.77933955437 1.0 10.12 11.16
-17.046555 147.45897 1.5740001 8609.7793514902 1.0 10.17 10.98
-17.034817 147.3516 0.44500002 8611.309896828025 1.0 12.29 4.5099998
-17.133854 147.39139 0.601 8611.309920428204 1.0 12.349999 4.41
-17.183369 147.4113 0.407 8611.30993227358 1.0 12.389999 4.3399997
-17.23288 147.43123 0.546 8611.309944118955 1.0 12.4 4.3199997
-17.282389 147.45117 0.943 8611.309955873876 1.0 12.42 4.29
-17.331892 147.47113 0.84900004 8611.309967719135 1.0 12.38 4.35
-17.381393 147.4911 1.2320001 8611.309979474056 1.0 12.429999 4.27
-17.430893 147.51108 0.95600003 8611.309991319431 1.0 12.42 4.29
-17.480389 147.53108 1.0320001 8611.310003164806 1.0 12.44 4.25
-17.52988 147.55109 0.93700004 8611.310014919727 1.0 12.389999 4.3399997
-17.579369 147.5711 0.97300005 8611.310026765103 1.0 12.4 4.3199997
-17.628855 147.59114 0.96400005 8611.310038520023 1.0 12.48 4.19
-17.678335 147.61119 0.85700005 8611.310050365282 1.0 12.7 3.85
