soi,Wh
-0.9,1.246717155
-0.7,1.656081378
-0.5,0.991063923
-1.2,2.176583171
-0.3,1.996666729
-0.8,1.974246283
-0.8,1.23823756
-0.9,1.567896555
-0.7,1.1986606
-1.1,1.125377459
-0.1,1.05265522
0.2,1.66086695
-0.1,1.329741687
0.3,1.435725737
-0.7,1.906962386
-1.3,2.200620294
-0.7,1.595294356
-0.4,1.76407975
-1.3,2.051585039
-1.2,1.899236977
-1.6,1.215859726
-1.1,1.374052634
-0.6,0.757184029
-1.2,1.153817262
-0.4,1.225581139
-0.1,0.751392615
0.8,1.35475714
-0.7,1.157751083
-0.4,1.468855485
0.1,1.653992116
0.4,1.180131231
0.3,2.784620378
0.3,1.351332622
0,1.434574862
0,0.917573222
-0.5,1.261280268
1,1.041346639
0.3,0.995282897
1.1,2.171539217
0.8,1.187028633
0.3,1.62414676
1.2,1.807537958
0.7,1.052465876
0.7,1.591326604
0.6,1.366745383
0.6,1.37360612
-0.1,0.974889636
0.9,1.448352979
0.5,1.781943909
1.7,1.614069819
-0.4,2.254188962
-0.6,1.984185405
-1.3,1.34795825
-1.4,1.98657136
-0.8,2.097508682
-1.4,2.02594517
-1.4,1.139036715
-1.5,1.333264674
-1.2,0.840186074
-1,0.933163515
-2.7,2.839572807
-2,0.975693027
-2.4,1.457564526
-1.4,1.569812877
0.3,1.453018785
1,1.445594557
1.2,1.874279402
1.2,1.729655594
1,1.7565349
1.1,1.15361125
1,1.261737607
1.4,1.158683462
1.8,1.564574271
1,1.071724551
1.3,1.488804303
1.4,1.878374898
0.2,2.330004603
0.3,1.506955359
0.5,1.676873961
0.4,1.937696084
-0.1,1.351477614
1,1.057084653
1,1.712169332
1.4,1.627560207
0.7,1.01648281
1.7,2.116018765
1.3,1.838198915
1.2,1.765664952
0.4,2.1565753
-0.2,2.409725845
-0.2,1.162175894
0.7,1.333287219
0.9,1.326439997
1.1,1.179714541
1.8,1.225384295
0.8,1.441132532
1,1.254989942
1.7,1.669453348
0.9,1.001095619
0.2,1.966262438
-0.5,1.030461997
0.3,1.965330415
-0.2,1.415491581
-0.4,1.091484182
0.2,1.232639891
0,0.779614389
0.7,1.139887989
-0.8,0.910193585
0.4,0.98458851
1.1,1.226344595
-0.2,1.416310999
-0.1,1.744114127
-0.8,1.78782577
-0.2,1.675099231
-0.5,1.680339891
-1,1.635900685
