Date,Wh
19931,1.246717155
19932,1.656081378
19933,0.991063923
19934,2.176583171
19935,1.996666729
19936,1.974246283
19937,1.23823756
19938,1.567896555
19939,1.1986606
199310,1.125377459
199311,1.05265522
199312,1.66086695
19941,1.329741687
19942,1.435725737
19943,1.906962386
19944,2.200620294
19945,1.595294356
19946,1.76407975
19947,2.051585039
19948,1.899236977
19949,1.215859726
199410,1.374052634
199411,0.757184029
199412,1.153817262
19951,1.225581139
19952,0.751392615
19953,1.35475714
19954,1.157751083
19955,1.468855485
19956,1.653992116
19957,1.180131231
19958,2.784620378
19959,1.351332622
199510,1.434574862
199511,0.917573222
199512,1.261280268
19961,1.041346639
19962,0.995282897
19963,2.171539217
19964,1.187028633
19965,1.62414676
19966,1.807537958
19967,1.052465876
19968,1.591326604
19969,1.366745383
199610,1.37360612
199611,0.974889636
199612,1.448352979
19971,1.781943909
19972,1.614069819
19973,2.254188962
19974,1.984185405
19975,1.34795825
19976,1.98657136
19977,2.097508682
19978,2.02594517
19979,1.139036715
199710,1.333264674
199711,0.840186074
199712,0.933163515
19981,2.839572807
19982,0.975693027
19983,1.457564526
19984,1.569812877
19985,1.453018785
19986,1.445594557
19987,1.874279402
19988,1.729655594
19989,1.7565349
199810,1.15361125
199811,1.261737607
199812,1.158683462
19991,1.564574271
19992,1.071724551
19993,1.488804303
19994,1.878374898
19995,2.330004603
19996,1.506955359
19997,1.676873961
19998,1.937696084
19999,1.351477614
199910,1.057084653
199911,1.712169332
199912,1.627560207
20001,1.01648281
20002,2.116018765
20003,1.838198915
20004,1.765664952
20005,2.1565753
20006,2.409725845
20007,1.162175894
20008,1.333287219
20009,1.326439997
200010,1.179714541
200011,1.225384295
200012,1.441132532
20011,1.254989942
20012,1.669453348
20013,1.001095619
20014,1.966262438
20015,1.030461997
20016,1.965330415
20017,1.415491581
20018,1.091484182
20019,1.232639891
200110,0.779614389
200111,1.139887989
200112,0.910193585
20021,0.98458851
20022,1.226344595
20023,1.416310999
20024,1.744114127
20025,1.78782577
20026,1.675099231
20027,1.680339891
20028,1.635900685
20029,1.373795438
200210,0.71374927
200211,1.546530326
200212,0.591537702
20031,1.314410043
20032,0.969535629
20033,1.292180677
20034,1.114224422
20035,1.529670084
20036,1.70501647
20037,2.553056812
20038,1.440686186
20039,1.056683064
200310,1.009089321
200311,1.490825872
200312,1.140818238
20041,1.092065775
20042,1.262981042
20043,1.214287698
20044,2.27704246
20045,0.994641721
20046,1.946672869
20047,1.365580034
20048,1.054653406
20049,1.999533534
200410,0.618778819
200411,1.175300324
200412,0.576423353
20051,1.467183391
20052,1.174452323
20053,1.322860142
20054,1.843452382
20055,0.878804296
20056,1.474947417
20057,1.647412618
20058,1.311866724
20059,1.261532438
200510,0.830236773
200511,0.800339901
200512,0.86611113
20061,1.045338833
20062,1.592912138
20063,2.213346827
20064,1.693465829
20065,1.737657219
20066,1.986060739
20067,1.542983383
20068,1.653600156
20069,1.711712539
200610,1.610079467
200611,0.928191572
200612,1.165899479
20071,1.280063367
20072,2.403283954
20073,1.16383333
20074,1.714777827
20075,1.720771968
20076,1.44238618
20077,1.369390935
20078,1.471855462
20079,1.170836419
200710,0.783450067
200711,1.918163687
200712,0.890970618
20081,1.809953272
20082,1.140221253
20083,2.593016386
20084,1.77398774
20085,1.74666698
20086,1.952213089
20087,1.38463475
20088,1.440702731
20089,1.451434129
200810,1.550696542
200811,0.699349255
200812,0.906375198
20091,1.421325409
20092,1.144338368
20093,1.623571648
20094,1.33019555
20095,1.545852655
20096,1.247395492
20097,1.535573107
20098,1.457997477
20099,0.905030605
200910,1.471487622
200911,1.20830063
200912,1.1358285
20101,1.245411323
20102,0.782228346
20103,1.881287792
20104,1.490080474
20105,1.18717996
20106,1.939212605
20107,2.185677884
20108,1.468395367
20109,1.018720361
201010,1.776086246
201011,1.040522553
201012,0.755287051
20111,1.136177555
20112,1.148461632
20113,1.137414256
20114,2.02734835
20115,1.827223267
20116,1.305900233
20117,1.385385191
20118,1.613382164
20119,1.813847572
201110,1.121983749
201111,1.285366808
201112,1.110845328
20121,0.845019566
20122,1.38536795
20123,1.667698458
20124,1.181648388
20125,2.031294226
20126,1.465877858
20127,1.918930686
20128,1.054762983
20129,1.073095767
201210,1.774215689
201211,1.14524815
201212,1.418135403
20131,1.335738257
20132,1.382332561
20133,1.961711377
20134,1.761228008
20135,2.118283798
20136,1.224902141
20137,2.194325137
20138,1.09520066
20139,0.98249526
201310,1.164854838
201311,0.918091272
201312,1.240451191
20141,1.193379749
20142,1.350504926
20143,2.354236831
20144,2.002102211
20145,1.645563007
20146,1.835622966
20147,1.251873076
