soi,wh
-0.9,1.368201269
-0.7,1.383426308
-0.5,1.26791707
-1.2,2.253171508
-0.3,2.444402295
-0.8,2.018851442
-0.8,1.839939451
-0.9,1.603995221
-0.7,1.841643077
-1.1,1.569902094
-0.1,1.322313177
0.2,1.277821602
-0.1,1.011795631
0.3,0.899443493
-0.7,1.543548059
-1.3,2.533556919
-0.7,2.208184902
-0.4,1.90474249
-1.3,2.318837472
-1.2,2.430230551
-1.6,1.568320425
-1.1,1.459072478
-0.6,1.287810723
-1.2,1.153463847
-0.4,1.136233598
-0.1,1.105322421
0.8,1.865070743
-0.7,1.663753917
-0.4,1.918250063
0.1,2.476039267
0.4,1.809996324
0.3,2.926373648
0.3,1.918652833
0,1.756760055
0,1.23958454
-0.5,1.039378551
1,0.961000704
0.3,1.014672371
1.1,1.512222052
0.8,1.418839334
0.3,1.765727215
1.2,1.580857583
0.7,1.283335624
0.7,1.798996947
0.6,1.561448132
0.6,2.621100926
-0.1,1.046812347
0.9,1.250065572
0.5,1.579077305
1.7,1.459462202
-0.4,1.7700959
-0.6,2.279409891
-1.3,1.68449605
-1.4,2.190343747
-0.8,2.550201537
-1.4,2.139415798
-1.4,1.577762849
-1.5,1.480485479
-1.2,1.348494766
-1,0.986396037
-2.7,1.389762822
-2,1.038424474
-2.4,1.650821547
-1.4,1.790734709
0.3,2.245318227
1,2.178570662
1.2,2.554382043
1.2,1.988025726
1,2.126518095
1.1,1.403310563
1,1.319014844
1.4,1.237716703
1.8,1.219650057
1,1.678441461
1.3,1.481757963
1.4,1.740728218
0.2,2.050227247
0.3,2.122685851
0.5,2.309681061
0.4,2.453001269
-0.1,1.992827321
1,1.476700179
1,1.392396023
1.4,1.355352248
0.7,0.887676175
1.7,1.066721864
1.3,1.394388811
1.2,1.433507344
0.4,2.341491974
-0.2,2.731321207
-0.2,1.88935027
0.7,1.652964469
0.9,1.831713015
1.1,1.385594381
1.8,1.157712683
0.8,1.27684928
1,1.129862591
1.7,1.707938588
0.9,0.828199724
0.2,2.13275481
-0.5,1.49911537
0.3,2.517329524
-0.2,1.949971003
-0.4,1.589229054
0.2,1.764950374
0,1.077731767
0.7,1.343209015
-0.8,0.911040177
0.4,1.06687894
1.1,1.246458176
-0.2,1.594482467
-0.1,2.034614615
-0.8,1.973396432
-0.2,2.313010635
-0.5,1.915080473
-1,2.09207658
-0.6,1.666185594
-0.4,1.47975414
-0.5,1.752276997
-1.1,0.764987826
-0.2,1.089355715
-0.7,0.967507303
-0.3,1.730753446
-0.1,1.66973424
-0.3,1.867380897
-0.6,1.782655525
0.3,2.833702981
0.1,1.847831627
-0.1,1.955066741
0,0.745471932
-0.3,2.029415369
1.1,1.331422919
-1.3,0.871440935
1.2,1.146198791
0.4,1.482133329
-0.9,2.277101278
1,2.043396393
-0.8,2.365725688
-0.5,1.940134416
-0.3,0.841162032
-0.3,2.157111359
-0.1,1.28915298
-0.7,1.769887765
-0.8,1.919991806
0.3,1.551337838
-3.1,1.508168137
0.3,1.478069127
-0.6,2.603342056
-0.8,1.861538495
0.4,1.703406787
0.2,2.318628569
-0.3,2.2692191
0.4,1.821666439
1.2,1.659676063
-0.2,1.347110838
