Date,Wh
1993-1,1.368201269
1993-2,1.383426308
1993-3,1.26791707
1993-4,2.253171508
1993-5,2.444402295
1993-6,2.018851442
1993-7,1.839939451
1993-8,1.603995221
1993-9,1.841643077
1993-10,1.569902094
1993-11,1.322313177
1993-12,1.277821602
1994-1,1.011795631
1994-2,0.899443493
1994-3,1.543548059
1994-4,2.533556919
1994-5,2.208184902
1994-6,1.90474249
1994-7,2.318837472
1994-8,2.430230551
1994-9,1.568320425
1994-10,1.459072478
1994-11,1.287810723
1994-12,1.153463847
1995-1,1.136233598
1995-2,1.105322421
1995-3,1.865070743
1995-4,1.663753917
1995-5,1.918250063
1995-6,2.476039267
1995-7,1.809996324
1995-8,2.926373648
1995-9,1.918652833
1995-10,1.756760055
1995-11,1.23958454
1995-12,1.039378551
1996-1,0.961000704
1996-2,1.014672371
1996-3,1.512222052
1996-4,1.418839334
1996-5,1.765727215
1996-6,1.580857583
1996-7,1.283335624
1996-8,1.798996947
1996-9,1.561448132
1996-10,2.621100926
1996-11,1.046812347
1996-12,1.250065572
1997-1,1.579077305
1997-2,1.459462202
1997-3,1.7700959
1997-4,2.279409891
1997-5,1.68449605
1997-6,2.190343747
1997-7,2.550201537
1997-8,2.139415798
1997-9,1.577762849
1997-10,1.480485479
1997-11,1.348494766
1997-12,0.986396037
1998-1,1.389762822
1998-2,1.038424474
1998-3,1.650821547
1998-4,1.790734709
1998-5,2.245318227
1998-6,2.178570662
1998-7,2.554382043
1998-8,1.988025726
1998-9,2.126518095
1998-10,1.403310563
1998-11,1.319014844
1998-12,1.237716703
1999-1,1.219650057
1999-2,1.678441461
1999-3,1.481757963
1999-4,1.740728218
1999-5,2.050227247
1999-6,2.122685851
1999-7,2.309681061
1999-8,2.453001269
1999-9,1.992827321
1999-10,1.476700179
1999-11,1.392396023
1999-12,1.355352248
2000-1,0.887676175
2000-2,1.066721864
2000-3,1.394388811
2000-4,1.433507344
2000-5,2.341491974
2000-6,2.731321207
2000-7,1.88935027
2000-8,1.652964469
2000-9,1.831713015
