January,February,March,April,May,June,July,August,September,October,November,December
1.368201269,1.383426308,1.26791707,2.253171508,2.444402295,2.018851442,1.839939451,1.603995221,1.841643077,1.569902094,1.322313177,1.277821602
1.011795631,0.899443493,1.543548059,2.533556919,2.208184902,1.90474249,2.318837472,2.430230551,1.568320425,1.459072478,1.287810723,1.153463847
1.136233598,1.105322421,1.865070743,1.663753917,1.918250063,2.476039267,1.809996324,2.926373648,1.918652833,1.756760055,1.23958454,1.039378551
0.961000704,1.014672371,1.512222052,1.418839334,1.765727215,1.580857583,1.283335624,1.798996947,1.561448132,2.621100926,1.046812347,1.250065572
1.579077305,1.459462202,1.7700959,2.279409891,1.68449605,2.190343747,2.550201537,2.139415798,1.577762849,1.480485479,1.348494766,0.986396037
1.389762822,1.038424474,1.650821547,1.790734709,2.245318227,2.178570662,2.554382043,1.988025726,2.126518095,1.403310563,1.319014844,1.237716703
1.219650057,1.678441461,1.481757963,1.740728218,2.050227247,2.122685851,2.309681061,2.453001269,1.992827321,1.476700179,1.392396023,1.355352248
0.887676175,1.066721864,1.394388811,1.433507344,2.341491974,2.731321207,1.88935027,1.652964469,1.831713015,1.385594381,1.157712683,1.27684928
1.129862591,1.707938588,0.828199724,2.13275481,1.49911537,2.517329524,1.949971003,1.589229054,1.764950374,1.077731767,1.343209015,0.911040177
1.06687894,1.246458176,1.594482467,2.034614615,1.973396432,2.313010635,1.915080473,2.09207658,1.666185594,1.47975414,1.752276997,0.764987826
1.089355715,0.967507303,1.730753446,1.66973424,1.867380897,1.782655525,2.833702981,1.847831627,1.955066741,0.745471932,2.029415369,1.331422919
0.871440935,1.146198791,1.482133329,2.277101278,2.043396393,2.365725688,1.940134416,0.841162032,2.157111359,1.28915298,1.769887765,1.919991806
1.551337838,1.508168137,1.478069127,2.603342056,1.861538495,1.703406787,2.318628569,2.2692191,1.821666439,1.659676063,1.347110838,1.515165794
1.103539598,1.38806197,1.132890155,1.373761555,1.858186404,2.69606778,2.128546814,2.247133493,1.784400225,1.981646872,1.494228435,1.46818643
0.97798267,0.851100087,1.169683322,2.118420041,2.196767926,1.867571503,1.762260512,1.879256934,1.873772383,1.27857694,1.841835022,0.953296888
0.828965473,1.258005182,1.786434576,1.786029863,2.007078677,2.400666833,2.040234336,2.73330703,2.028717181,2.119264309,1.0265764,1.124349855
1.258874268,1.280188668,1.809093784,1.81083134,1.834387347,2.03668106,1.705795139,1.908281828,1.513227153,1.695635241,1.470699372,1.084803918
1.493411993,1.375236153,1.723678636,1.323361935,1.97020006,1.828998983,2.741150976,2.082292708,2.004073709,1.782571323,1.334197538,0.795572305
1.09858423,1.303764837,1.002462326,1.730862679,1.884679627,1.838953479,2.339534747,1.853217474,2.155130613,1.390336149,1.597203628,1.109452126
1.020224145,1.453810737,1.502036915,1.553325943,2.481060703,1.550638038,2.080462132,1.806206237,1.769516532,1.980655615,1.082105171,1.209847102
1.735912754,0.934689448,1.932227232,1.934998094,2.66895827,2.273546569,2.653079138,1.685948099,1.247167712,1.544132705,0.903670952,1.349321135
1.488071402,1.268419792,1.733867893,1.866012965,2.070463733,2.480679092,1.996541481,2.252148226,1.828442751,1.667078662,1.15875229,0.691593558
1.282320576,1.58327097,2.136492299,1.677242239,1.975037441,2.187686275,2.221574631,1.575949418,1.304804928,1.662024546,1.265013017,0.919525605
0.940953197,1.528159899,1.180943725,1.958871413,1.700138985,1.865567542,2.093468702,2.145878763,1.684191108,1.666647307,1.076789712,1.126543713
0.64618728,1.025579528,0.934061751,2.3881477,2.105902764,2.389832027,2.223470233,1.876795228,2.192649463,1.33928238,1.45276527,0.907365904
1.198400788,0.976062732,1.353098402,1.646558769,2.265013296,2.046110316,1.951679339,1.390288648,1.852402162,1.314990585,1.21329229,1.196878759
