Date,Wh
19931,1.368201269
19932,1.383426308
19933,1.26791707
19934,2.253171508
19935,2.444402295
19936,2.018851442
19937,1.839939451
19938,1.603995221
19939,1.841643077
199310,1.569902094
199311,1.322313177
199312,1.277821602
19941,1.011795631
19942,0.899443493
19943,1.543548059
19944,2.533556919
19945,2.208184902
19946,1.90474249
19947,2.318837472
19948,2.430230551
19949,1.568320425
199410,1.459072478
199411,1.287810723
199412,1.153463847
19951,1.136233598
19952,1.105322421
19953,1.865070743
19954,1.663753917
19955,1.918250063
19956,2.476039267
19957,1.809996324
19958,2.926373648
19959,1.918652833
199510,1.756760055
199511,1.23958454
199512,1.039378551
19961,0.961000704
19962,1.014672371
19963,1.512222052
19964,1.418839334
19965,1.765727215
19966,1.580857583
19967,1.283335624
19968,1.798996947
19969,1.561448132
199610,2.621100926
199611,1.046812347
199612,1.250065572
19971,1.579077305
19972,1.459462202
19973,1.7700959
19974,2.279409891
19975,1.68449605
19976,2.190343747
19977,2.550201537
19978,2.139415798
19979,1.577762849
199710,1.480485479
199711,1.348494766
199712,0.986396037
19981,1.389762822
19982,1.038424474
19983,1.650821547
19984,1.790734709
19985,2.245318227
19986,2.178570662
19987,2.554382043
19988,1.988025726
19989,2.126518095
199810,1.403310563
199811,1.319014844
199812,1.237716703
19991,1.219650057
19992,1.678441461
19993,1.481757963
19994,1.740728218
19995,2.050227247
19996,2.122685851
19997,2.309681061
19998,2.453001269
19999,1.992827321
199910,1.476700179
199911,1.392396023
199912,1.355352248
20001,0.887676175
20002,1.066721864
20003,1.394388811
20004,1.433507344
20005,2.341491974
20006,2.731321207
20007,1.88935027
20008,1.652964469
20009,1.831713015
200010,1.385594381
200011,1.157712683
200012,1.27684928
20011,1.129862591
20012,1.707938588
20013,0.828199724
20014,2.13275481
20015,1.49911537
20016,2.517329524
20017,1.949971003
20018,1.589229054
20019,1.764950374
200110,1.077731767
200111,1.343209015
200112,0.911040177
20021,1.06687894
20022,1.246458176
20023,1.594482467
20024,2.034614615
20025,1.973396432
20026,2.313010635
