1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"[nan,","0.5147500038146973,","nan,","[0.8883646130561829,",,,,"[nan,","[1.3682012685420937,","[1.011795631482545,","[1.1362335982948844,","[0.9358460886610878,","1.5795145292436539,","[1.598922678680369,",,,,,,,,,,,,,,,,,,,,,,,
" nan,"," 0.3118000030517578,"," 1.3334825436274211,"," nan,",,,," nan,"," 1.3834263083796021,"," 0.8994434925040814,"," 1.1053224205110668,"," 1.3051451618709264,"," 1.5900111413606195,"," 1.7907347087506895,",,,,,,,,,,,,,,,,,,,,,,,
" nan,"," 0.5635000467300415,"," 1.9948890805244446,"," 2.4017000198364262,",,,," nan,"," 1.2679170700837465,"," 1.543548058981847,"," 1.8650707427901452,"," 1.427022483613756,"," 2.4814015494452586,"," 2.176792235773535,",,,,,,,,,,,,,,,,,,,,,,,
" 1.3572624921798706,"," 1.6778647154569626,"," 1.3235714435577393,"," 2.7128751277923584,",,,," nan,"," 2.2531715078156633,"," 2.5335569189052394,"," 1.6637539165991322,"," 1.5983140534824796,"," 1.6162914981444678,"," 2.239285052157144,",,,,,,,,,,,,,,,,,,,,,,,
" 1.6890000700950623,"," 2.049000024795532,"," 1.7871668338775637,"," 3.0915666818618774,",,,," nan,"," 2.444402294929582,"," 2.208184902114098,"," 1.918250063453058,"," 1.6923728268823508,"," 2.304246032626006,"," 2.5543820433544386,",,,,,,,,,,,,,,,,,,,,,,,
" 1.2743928730487823,"," 1.5727500915527344,"," 1.7687501907348633,"," nan,",,,," nan,"," 2.0188514423691464,"," 1.904742490161549,"," 2.476039267282026,"," 1.3966346004244052,"," 2.786582771375123,"," 1.9358871115578546,",,,,,,,,,,,,,,,,,,,,,,,
" nan,"," 2.0393611192703247,"," 2.016183912754059,"," 1.847027838230133,",,,," nan,"," 1.8399394507359976,"," 2.3188374715220648,"," 1.842052294589855,"," 1.7989969465768698,"," 1.7019911448633862,"," 2.344051224565265,",,,,,,,,,,,,,,,,,,,,,,,
" 1.345666766166687,"," 1.5413334369659424,"," nan,"," 2.5243337154388428,",,,," nan,"," 1.6039952212311201,"," 2.430230550894432,"," 2.8679949758630814,"," 1.5614481317726048,"," 1.5122824279647884,"," 1.3413480963197795,",,,,,,,,,,,,,,,,,,,,,,,
" 2.018501957257589,"," 1.0766857465108235,"," 1.6328888932863872,"," nan,",,,," nan,"," 1.8416430771952925,"," 1.5683204250418261,"," 1.8146906036854327,"," 2.6018799681856177,"," 1.4129202289111689,"," 1.1846651749478445,",,,,,,,,,,,,,,,,,,,,,,,
" 0.32442858815193176,"," nan,"," 0.6091334223747253,"," nan,",,,," 1.8459415590608277,"," 1.5699020939643937,"," 1.4590724782911615,"," 1.6826334204623308,"," 0.9045057601742931,"," 0.96000616581409,"," 1.126052465477977,",,,,,,,,,,,,,,,,,,,,,,,
" 1.66657292842865,"," 1.273769199848175,"," nan,"," nan,",,,," 1.0506729939971309,"," 1.3223131766465883,"," 1.2878107229868572,"," 1.0224928780207558,"," 1.2182005996464804,"," 1.322190034524961,"," 1.6909667323033015,",,,,,,,,,,,,,,,,,,,,,,,
 1.2756000757217407], 1.0260000427563984],1.421607256, nan],,,, 1.0402067662890913], 1.2778216016412984], 1.1534638473080465], 1.078504306782007], 1.5543365680542593],1.007286349, 1.3376347988542885],,,,,,,,,,,,,,,,,,,,,,,
